SYMBOL, SERIES, DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY, DELIV_PER
SANDESH, EQ, 18-Sep-2019,569.95,557.05,586.8,557.05,585.95,571.75,574.95,434,2.5,294,137,31.57
SANDHAR, EQ, 18-Sep-2019,254.8,256,264,240.55,251.05,246,248.21,4260,10.57,546,2406,56.48
SANGAMIND, EQ, 18-Sep-2019,43.75,45,45,41.05,42.05,42.35,42.92,4020,1.73,186,2561,63.71
SANGHIIND, EQ, 18-Sep-2019,50.65,50.7,52.2,49.35,50,50.55,50.48,75415,38.07,749,53920,71.5
SANGHVIFOR, BE, 18-Sep-2019,28,26.6,28.65,26.6,28.65,28.65,27.92,1349,0.38,9, -, -
SANGHVIMOV, EQ, 18-Sep-2019,89.85,91,91,88,88.7,88.45,88.89,4904,4.36,309,3975,81.06
SANGINITA, EQ, 18-Sep-2019,99.45,102.95,102.95,99.75,102.5,102.4,101.44,28528,28.94,180,18111,63.48
SANOFI, EQ, 18-Sep-2019,5793.55,5825,5845.3,5762.2,5806,5803.3,5800.94,59705,3463.45,1586,55482,92.93
SANWARIA, EQ, 18-Sep-2019,2.5,2.4,2.5,2.4,2.4,2.4,2.4,2084061,50.11,869,1292286,62.01
SARDAEN, EQ, 18-Sep-2019,158.95,160.5,161.5,150,153.5,153.4,154.95,82684,128.12,2883,49405,59.75
SAREGAMA, EQ, 18-Sep-2019,332,334.35,339.9,333,333,336.55,336.09,11442,38.45,1053,10401,90.9
SARLAPOLY, EQ, 18-Sep-2019,24.45,23.9,23.95,22.95,23.3,23.5,23.47,94228,22.12,449,74795,79.38
SASKEN, EQ, 18-Sep-2019,544.95,554.85,606.8,550,576,575.4,584.94,65416,382.65,5391,16374,25.03
SASTASUNDR, EQ, 18-Sep-2019,102.25,106,106,101.5,104.8,104.05,103.23,3022,3.12,102,1804,59.7
SATIA, EQ, 18-Sep-2019,696.3,698,713.85,690.05,710,710,703.63,3640,25.61,82,292,8.02
SATIN, EQ, 18-Sep-2019,265.8,267.85,274,265,268.05,269.5,265.51,198209,526.27,667,192109,96.92
SBIETFQLTY, EQ, 18-Sep-2019,93.56,95.1,95.1,92.5,93.5,93.47,93.3,2239,2.09,39,1908,85.22
SBILIFE, EQ, 18-Sep-2019,798.2,802.1,807,798.1,804,802.95,801.57,715018,5731.36,27880,551961,77.2
SBIN, EQ, 18-Sep-2019,273.95,277.2,282.95,274.4,280.4,280.4,279.19,25478758,71134.74,184875,4431881,17.39
SBIN, N2, 18-Sep-2019,11241.58,11226,11226,11212.05,11220,11220,11219.32,64,7.18,18,64,100
SBIN, N5, 18-Sep-2019,11351.2,11388,11388,11349,11379.9,11373.42,11372.05,945,107.47,121,766,81.06
SCAPDVR, EQ, 18-Sep-2019,0.55,0.55,0.55,0.5,0.5,0.5,0.51,1301,0.01,6,1301,100
SCHAEFFLER, EQ, 18-Sep-2019,4103.5,4076.3,4149,4020,4040,4046.85,4094.83,14693,601.65,628,13067,88.93
SCHAND, EQ, 18-Sep-2019,63.7,64.05,66.05,63.1,63.4,64.55,64.52,59503,38.39,560,46833,78.71
SCHNEIDER, EQ, 18-Sep-2019,79.8,80.75,82.5,78.15,78.5,78.6,79.38,18439,14.64,569,10421,56.52
